Ticker,Sector
GILLETTE.NS,Fast Moving Consumer Goods
GLAND.NS,Healthcare
GLAXO.NS,Healthcare
GLENMARK.NS,Healthcare
GMDCLTD.NS,Metals & Mining
GMRAIRPORT.NS,Services
GODFRYPHLP.NS,Fast Moving Consumer Goods
GODIGIT.NS,Financial Services
GODREJCP.NS,Fast Moving Consumer Goods
GODREJIND.NS,Diversified
GODREJPROP.NS,Realty
GPIL.NS,Capital Goods
GRANULES.NS,Healthcare
GRAPHITE.NS,Capital Goods
GRASIM.NS,Construction Materials
GRAVITA.NS,Metals & Mining
GROWW.NS,Financial Services
GRSE.NS,Capital Goods
GVT&D.NS,Capital Goods
HAL.NS,Capital Goods
HAVELLS.NS,Consumer Durables
HBLENGINE.NS,Capital Goods
HCLTECH.NS,Information Technology
HDBFS.NS,Financial Services
HDFCAMC.NS,Financial Services
HDFCBANK.NS,Financial Services
HDFCLIFE.NS,Financial Services
HEG.NS,Capital Goods
HEROMOTOCO.NS,Automobile and Auto Components
HEXT.NS,Information Technology
HFCL.NS,Telecommunication
HINDALCO.NS,Metals & Mining
HINDCOPPER.NS,Metals & Mining
HINDPETRO.NS,Oil Gas & Consumable Fuels
HINDUNILVR.NS,Fast Moving Consumer Goods
HINDZINC.NS,Metals & Mining
HOMEFIRST.NS,Financial Services
HONASA.NS,Fast Moving Consumer Goods
HONAUT.NS,Capital Goods
HSCL.NS,Chemicals
HUDCO.NS,Financial Services
HYUNDAI.NS,Automobile and Auto Components
ICICIAMC.NS,Financial Services
ICICIBANK.NS,Financial Services
ICICIGI.NS,Financial Services
ICICIPRULI.NS,Financial Services
IDBI.NS,Financial Services
IDEA.NS,Telecommunication
IDFCFIRSTB.NS,Financial Services
IEX.NS,Financial Services
IFCI.NS,Financial Services
IGIL.NS,Services
IGL.NS,Oil Gas & Consumable Fuels
IIFL.NS,Financial Services
IKS.NS,Information Technology
INDGN.NS,Healthcare
INDHOTEL.NS,Consumer Services
INDIACEM.NS,Construction Materials
INDIAMART.NS,Consumer Services
INDIANB.NS,Financial Services
INDIGO.NS,Services
INDUSINDBK.NS,Financial Services
INDUSTOWER.NS,Telecommunication
INFY.NS,Information Technology
INOXWIND.NS,Capital Goods
INTELLECT.NS,Information Technology
IOB.NS,Financial Services
IOC.NS,Oil Gas & Consumable Fuels
IPCALAB.NS,Healthcare
IRB.NS,Construction
IRCON.NS,Construction
IRCTC.NS,Consumer Services
IREDA.NS,Financial Services
IRFC.NS,Financial Services
ITC.NS,Fast Moving Consumer Goods
ITCHOTELS.NS,Consumer Services
ITI.NS,Telecommunication
J&KBANK.NS,Financial Services
JAINREC.NS,Metals & Mining
JBCHEPHARM.NS,Healthcare
JBMA.NS,Automobile and Auto Components
JINDALSAW.NS,Capital Goods
JINDALSTEL.NS,Metals & Mining
JIOFIN.NS,Financial Services
JKCEMENT.NS,Construction Materials
JKTYRE.NS,Automobile and Auto Components
JMFINANCIL.NS,Financial Services
JPPOWER.NS,Power
JSL.NS,Metals & Mining
JSWCEMENT.NS,Construction Materials
JSWDULUX.NS,Consumer Durables
JSWENERGY.NS,Power
JSWINFRA.NS,Services
JSWSTEEL.NS,Metals & Mining
JUBLFOOD.NS,Consumer Services
JUBLINGREA.NS,Chemicals
JUBLPHARMA.NS,Healthcare
JWL.NS,Capital Goods
JYOTICNC.NS,Capital Goods
KAJARIACER.NS,Consumer Durables
KALYANKJIL.NS,Consumer Durables
KARURVYSYA.NS,Financial Services
KAYNES.NS,Capital Goods
KEC.NS,Construction
KEI.NS,Capital Goods
KFINTECH.NS,Financial Services
KIMS.NS,Healthcare
KIRLOSENG.NS,Capital Goods
KOTAKBANK.NS,Financial Services
KPIL.NS,Construction
KPITTECH.NS,Information Technology
KPRMILL.NS,Textiles
LALPATHLAB.NS,Healthcare
LATENTVIEW.NS,Information Technology
LAURUSLABS.NS,Healthcare
LEMONTREE.NS,Consumer Services
LENSKART.NS,Consumer Services
LGEINDIA.NS,Consumer Durables
LICHSGFIN.NS,Financial Services
LICI.NS,Financial Services
LINDEINDIA.NS,Chemicals
LLOYDSME.NS,Metals & Mining
LODHA.NS,Realty
LT.NS,Construction
LTF.NS,Financial Services
LTFOODS.NS,Fast Moving Consumer Goods
LTM.NS,Information Technology
LTTS.NS,Information Technology
LUPIN.NS,Healthcare
M&M.NS,Automobile and Auto Components
M&MFIN.NS,Financial Services
MAHABANK.NS,Financial Services
MANAPPURAM.NS,Financial Services
MANKIND.NS,Healthcare
MAPMYINDIA.NS,Information Technology
MARICO.NS,Fast Moving Consumer Goods
MARUTI.NS,Automobile and Auto Components
MAXHEALTH.NS,Healthcare
MAZDOCK.NS,Capital Goods
MCX.NS,Financial Services
MEDANTA.NS,Healthcare
MEESHO.NS,Consumer Services
MFSL.NS,Financial Services
MGL.NS,Oil Gas & Consumable Fuels
MINDACORP.NS,Automobile and Auto Components
MMTC.NS,Services
MOTHERSON.NS,Automobile and Auto Components
MOTILALOFS.NS,Financial Services
MPHASIS.NS,Information Technology
MRF.NS,Automobile and Auto Components
MRPL.NS,Oil Gas & Consumable Fuels
MSUMI.NS,Automobile and Auto Components
MUTHOOTFIN.NS,Financial Services
NAM-INDIA.NS,Financial Services
NATCOPHARM.NS,Healthcare
NATIONALUM.NS,Metals & Mining
NAUKRI.NS,Consumer Services
NAVA.NS,Power
NAVINFLUOR.NS,Chemicals
NBCC.NS,Construction
NCC.NS,Construction
NESTLEIND.NS,Fast Moving Consumer Goods
NETWEB.NS,Information Technology
NEULANDLAB.NS,Healthcare
NEWGEN.NS,Information Technology
NH.NS,Healthcare
NHPC.NS,Power
NIACL.NS,Financial Services
NIVABUPA.NS,Financial Services
NLCINDIA.NS,Power
NMDC.NS,Metals & Mining
NSLNISP.NS,Metals & Mining
NTPC.NS,Power
NTPCGREEN.NS,Power
NUVAMA.NS,Financial Services
NUVOCO.NS,Construction Materials
NYKAA.NS,Consumer Services
OBEROIRLTY.NS,Realty
OFSS.NS,Information Technology
OIL.NS,Oil Gas & Consumable Fuels
OLAELEC.NS,Automobile and Auto Components
OLECTRA.NS,Automobile and Auto Components
ONESOURCE.NS,Healthcare
ONGC.NS,Oil Gas & Consumable Fuels
PAGEIND.NS,Textiles
PARADEEP.NS,Chemicals
PATANJALI.NS,Fast Moving Consumer Goods
PAYTM.NS,Financial Services
PCBL.NS,Chemicals
PERSISTENT.NS,Information Technology
PETRONET.NS,Oil Gas & Consumable Fuels
PFC.NS,Financial Services
PFIZER.NS,Healthcare
PGEL.NS,Consumer Durables
PHOENIXLTD.NS,Realty
PIDILITIND.NS,Chemicals
PIIND.NS,Chemicals
PINELABS.NS,Financial Services
PIRAMALFIN.NS,Financial Services
PNB.NS,Financial Services
PNBHOUSING.NS,Financial Services
POLICYBZR.NS,Financial Services
POLYCAB.NS,Capital Goods
POLYMED.NS,Healthcare
POONAWALLA.NS,Financial Services
POWERGRID.NS,Power
POWERINDIA.NS,Capital Goods
PPLPHARMA.NS,Healthcare
PREMIERENE.NS,Capital Goods
PRESTIGE.NS,Realty
PTCIL.NS,Capital Goods
PVRINOX.NS,Media Entertainment & Publication
PWL.NS,Consumer Services
RADICO.NS,Fast Moving Consumer Goods
RAILTEL.NS,Telecommunication
RAINBOW.NS,Healthcare
RAMCOCEM.NS,Construction Materials
RBLBANK.NS,Financial Services
RECLTD.NS,Financial Services
REDINGTON.NS,Services
RELIANCE.NS,Oil Gas & Consumable Fuels
RHIM.NS,Capital Goods
RITES.NS,Construction
RKFORGE.NS,Automobile and Auto Components
RPOWER.NS,Power
RRKABEL.NS,Capital Goods
RVNL.NS,Construction
SAGILITY.NS,Information Technology
SAIL.NS,Metals & Mining
SAILIFE.NS,Healthcare
SAMMAANCAP.NS,Financial Services
SAPPHIRE.NS,Consumer Services
SARDAEN.NS,Metals & Mining
SAREGAMA.NS,Media Entertainment & Publication
SBFC.NS,Financial Services
SBICARD.NS,Financial Services
SBILIFE.NS,Financial Services
SBIN.NS,Financial Services
SCHAEFFLER.NS,Automobile and Auto Components
SCHNEIDER.NS,Capital Goods
SCI.NS,Services
SHREECEM.NS,Construction Materials
SHRIRAMFIN.NS,Financial Services
SHYAMMETL.NS,Capital Goods
SIEMENS.NS,Capital Goods
SIGNATURE.NS,Realty
SJVN.NS,Power
SOBHA.NS,Realty
SOLARINDS.NS,Chemicals
SONACOMS.NS,Automobile and Auto Components
SONATSOFTW.NS,Information Technology
SPLPETRO.NS,Chemicals
SRF.NS,Chemicals
STARHEALTH.NS,Financial Services
SUMICHEM.NS,Chemicals
SUNDARMFIN.NS,Financial Services
SUNPHARMA.NS,Healthcare
SUNTV.NS,Media Entertainment & Publication
SUPREMEIND.NS,Capital Goods
SUZLON.NS,Capital Goods
SWANCORP.NS,Chemicals
SWIGGY.NS,Consumer Services
SYNGENE.NS,Healthcare
SYRMA.NS,Capital Goods
TARIL.NS,Capital Goods
TATACAP.NS,Financial Services
TATACHEM.NS,Chemicals
TATACOMM.NS,Telecommunication
TATACONSUM.NS,Fast Moving Consumer Goods
TATAELXSI.NS,Information Technology
TATAINVEST.NS,Financial Services
TATAPOWER.NS,Power
TATASTEEL.NS,Metals & Mining
TATATECH.NS,Information Technology
TBOTEK.NS,Consumer Services
TCS.NS,Information Technology
TECHM.NS,Information Technology
TECHNOE.NS,Construction
TEGA.NS,Capital Goods
TEJASNET.NS,Telecommunication
TENNIND.NS,Automobile and Auto Components
THELEELA.NS,Consumer Services
THERMAX.NS,Capital Goods
TIINDIA.NS,Automobile and Auto Components
TIMKEN.NS,Capital Goods
TITAGARH.NS,Capital Goods
TITAN.NS,Consumer Durables
TMCV.NS,Capital Goods
TMPV.NS,Automobile and Auto Components
TORNTPHARM.NS,Healthcare
TORNTPOWER.NS,Power
TRAVELFOOD.NS,Consumer Services
TRENT.NS,Consumer Services
TRIDENT.NS,Textiles
TRITURBINE.NS,Capital Goods
TTML.NS,Telecommunication
TVSMOTOR.NS,Automobile and Auto Components
UBL.NS,Fast Moving Consumer Goods
UCOBANK.NS,Financial Services
ULTRACEMCO.NS,Construction Materials
UNIONBANK.NS,Financial Services
UNITDSPR.NS,Fast Moving Consumer Goods
UNOMINDA.NS,Automobile and Auto Components
UPL.NS,Chemicals
URBANCO.NS,Consumer Services
USHAMART.NS,Capital Goods
UTIAMC.NS,Financial Services
VBL.NS,Fast Moving Consumer Goods
VEDL.NS,Metals & Mining
VIJAYA.NS,Healthcare
VMM.NS,Consumer Services
VOLTAS.NS,Consumer Durables
VTL.NS,Textiles
WAAREEENER.NS,Capital Goods
WELCORP.NS,Capital Goods
WELSPUNLIV.NS,Textiles
WHIRLPOOL.NS,Consumer Durables
WIPRO.NS,Information Technology
WOCKPHARMA.NS,Healthcare
YESBANK.NS,Financial Services
ZEEL.NS,Media Entertainment & Publication
ZENSARTECH.NS,Information Technology
ZENTEC.NS,Capital Goods
ZFCVINDIA.NS,Automobile and Auto Components
ZYDUSLIFE.NS,Healthcare
ZYDUSWELL.NS,Fast Moving Consumer Goods
